"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19073255"">Drum</a>","There was 50 matches for the string Drum","There was 50 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/8375434"">Drum</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19073652"">LM_Dicynator (Tarlanors)</a>","There was 0 matches for the string LM_Dicynator (Tarlanors)","There was 0 matches","System.Object[]","1","System.Object[]","LM_Dicynator (Tarlanors)","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19023301"">SAS_</a>","2210","9","2108","16","4300","<a href=""https://aoe4world.com/players/2347873"">SAS_</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19063604"">Warsp1te</a>",,,"1814","123","925","<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19063120"">KnockKnock</a>","1703","161","1792","148","1678","<a href=""https://aoe4world.com/players/570060"">KnockKnock</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19043208"">Fluffy</a>","1218","4055","1289","10445","273","<a href=""https://aoe4world.com/players/20194124"">Fluffy</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19043967"">Trakor</a>","1717","144","1748","221","2220","<a href=""https://aoe4world.com/players/1712108"">PSR.Trakor</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19073536"">coRe</a>","2299","6","2155","7","2573","<a href=""https://aoe4world.com/players/7090781"">CoRe</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19067270"">Valdemar</a>","2085","20","2043","24","3774","<a href=""https://aoe4world.com/players/2942077"">Valdemar</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club/entrant/19063359"">Avely</a>","1876","57","1886","70","1883","<a href=""https://aoe4world.com/players/6504120"">Avely</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-108/event/the-warchief-club"">The Warchief Club</a>"
