"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13201399"">NyanRacingCat</a>","There was 1 matches for the string NyanRacingCat","There was 1 matches","1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13192353"">PCS | LeZouave</a>","There was 4 matches for the string LeZouave","There was 4 matches","System.Object[]","1","System.Object[]","LeZouave","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13202131"">PCS | Chuckfrancis</a>","1644","134","1715","130","957","<a href=""https://aoe4world.com/players/520130"">Chuckfrancis</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13183871"">Knusch</a>","1919","38","1950","34","346","<a href=""https://aoe4world.com/players/3592037"">Knusch</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13198796"">DivineDFP</a>","2001","24","1942","38","1105","<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13203086"">Myriad</a>","1722","94","1740","122","674","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13199308"">M7</a>","1573","231","1663","195","148","<a href=""https://aoe4world.com/players/6971273"">M7</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13200649"">Ramen</a>","1613","175","1642","233","395","<a href=""https://aoe4world.com/players/515937"">Ramen</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13191859"">Naheulbeuk</a>","1450","448","1639","238","76","<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13200306"">VES | Dragevann</a>","1537","270","1601","298","339","<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13200976"">OpDVlaM</a>","1503","337","1579","353","573","<a href=""https://aoe4world.com/players/8463481"">OpDVlaM</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13198828"">Ezra123</a>","1428","515","1513","513","608","<a href=""https://aoe4world.com/players/9014000"">Ezra123</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13200108"">antihero3mio der VIII</a>","1316","1603","1495","599","456","<a href=""https://aoe4world.com/players/7601016"">antihero3mio der VIII</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13191744"">wechcocoo</a>","1429","508","1485","620","793","<a href=""https://aoe4world.com/players/8760347"">wechcocoo</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13177089"">Gullyd3ck3l</a>","1388","1190","1476","662","684","<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13201034"">judgin_z</a>","1401","1035","1467","717","591","<a href=""https://aoe4world.com/players/7071050"">judgin_z</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13198383"">stealthyChak</a>","1282","1885","1341","1517","514","<a href=""https://aoe4world.com/players/6957231"">stealthyChak</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
