"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13201399"">NyanRacingCat</a>","There was 1 matches for the string NyanRacingCat","There was 1 matches","1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13192353"">PCS | LeZouave</a>","There was 3 matches for the string LeZouave","There was 3 matches","System.Object[]","1","System.Object[]","LeZouave","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13202131"">PCS | Chuckfrancis</a>","1654","125","1715","130","957","<a href=""https://aoe4world.com/players/520130"">Chuckfrancis</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13183871"">Knusch</a>","1919","37","1950","35","346","<a href=""https://aoe4world.com/players/3592037"">Knusch</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13198796"">DivineDFP</a>","2001","24","1942","37","1105","<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13203086"">Myriad</a>","1722","92","1740","122","674","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13199308"">M7</a>","1588","218","1663","193","148","<a href=""https://aoe4world.com/players/6971273"">M7</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13191859"">Naheulbeuk</a>","1450","445","1639","230","76","<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13200649"">Ramen</a>","1602","200","1638","235","394","<a href=""https://aoe4world.com/players/515937"">Ramen</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club/entrant/13200306"">VES | Dragevann</a>","1537","270","1601","294","339","<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-34/event/the-warchief-club"">The Warchief Club</a>"
