"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14565685"">NyanRacingCat</a>",,,"1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14577410"">LM_Dicynator (Tarlanors)</a>","There was 0 matches for the string LM_Dicynator (Tarlanors)","There was 0 matches","System.Object[]","1","System.Object[]","LM_Dicynator (Tarlanors)","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14568953"">Numudan</a>","2065","24","2059","20","1005","<a href=""https://aoe4world.com/players/9298419"">Numudan</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14568147"">Myriad</a>","1903","66","1905","78","1183","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14568887"">Kyo</a>","1779","110","1831","124","435","<a href=""https://aoe4world.com/players/106457"">Kyo</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14562097"">VerteX</a>","1657","194","1724","228","1599","<a href=""https://aoe4world.com/players/1062281"">VerteX</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14566831"">Naheulbeuk</a>","1433","680","1649","394","105","<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14569845"">Ety</a>","1597","300","1638","432","752","<a href=""https://aoe4world.com/players/7896747"">Ety</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14567469"">HOMS | HOMS-.-SENPAI</a>","1550","358","1630","448","261","<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14577782"">KnockKnock</a>","1413","882","1528","1018","699","<a href=""https://aoe4world.com/players/570060"">KnockKnock</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club/entrant/14580077"">UFD | Ammaz</a>","There was 0 matches for the string Ammaz","There was 0 matches","There was 0 matches for the string Ammaz","There was 0 matches","There was 0 matches","<a href=""https://aoe4world.com/players/10460871"">Ammaz</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-53/event/the-warchief-club"">The Warchief Club</a>"
