"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12892743"">NyanRacingCat</a>","There was 1 matches for the string NyanRacingCat","There was 1 matches","1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12895952"">PCS | MCV</a>","There was 19 matches for the string MCV","There was 19 matches","System.Object[]","1","System.Object[]","MCV","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12883590"">Galorys | LegolaS</a>","There was 0 matches for the string LegolaS","There was 0 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/9149364"">LegolaS</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12898815"">Shellbee</a>","1704","88","1669","169","963","<a href=""https://aoe4world.com/players/6514515"">Shellbee</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12888578"">Crackedy</a>","1951","23","1965","25","938","<a href=""https://aoe4world.com/players/230361"">CrackedyHere</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12875743"">Knusch</a>","1909","30","1953","30","343","<a href=""https://aoe4world.com/players/3592037"">Knusch</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12884144"">Numudan</a>","1843","48","1916","42","821","<a href=""https://aoe4world.com/players/9298419"">Numudan</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12893762"">coRe</a>","1887","34","1899","50","1031","<a href=""https://aoe4world.com/players/7090781"">CoRe</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12897540"">PCS | Chuckfrancis</a>","1620","141","1715","130","957","<a href=""https://aoe4world.com/players/520130"">Chuckfrancis</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12874973"">LaSh</a>","1830","51","1861","63","1558","<a href=""https://aoe4world.com/players/3877183"">LaSh</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club/entrant/12864424"">bakmogoon</a>","There was 0 matches for the string bakmogoon","There was 0 matches","1633","215","1270","<a href=""https://aoe4world.com/players/7679080"">bakmogoon</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-29/event/the-warchief-club"">The Warchief Club</a>"
