"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/13425723"">scifidrummergeek</a>","There was 1 matches for the string scifidrummergeek","There was 1 matches","1001","","2","<a href=""https://aoe4world.com/players/38604"">scifidrummergeek</a>","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/13420609"">HasanIchess</a>","There was 0 matches for the string HasanIchess","There was 0 matches","System.Object[]","1","System.Object[]","HasanIchess","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/13446182"">Caldeira</a>","There was 4 matches for the string Caldeira","There was 4 matches","System.Object[]","1","System.Object[]","Caldeira","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/13402527"">Aixx</a>","1435","101","1466","783","64","<a href=""https://aoe4world.com/players/2646918"">Aixx</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/13435135"">Athule</a>","There was 3 matches for the string Athule","There was 3 matches","1437","950","52","<a href=""https://aoe4world.com/players/4262428"">Athule</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/13445378"">Jst Matteo | Matteo</a>","1221","394","1427","994","731","<a href=""https://aoe4world.com/players/9765272"">Matteo</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/13445358"">qupak</a>","847","2710","1388","1269","123","<a href=""https://aoe4world.com/players/9172331"">qupak</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/13436992"">amirsozoki</a>","There was 0 matches for the string amirsozoki","There was 0 matches","1378","1328","420","<a href=""https://aoe4world.com/players/10107119"">amirsozoki</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/13445236"">Rob_The_Viking_TV</a>","1308","244","1365","1421","2454","<a href=""https://aoe4world.com/players/6914972"">Rob_The_Viking_TV</a>","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/13444885"">stealthyChak</a>","There was 2 matches for the string stealthyChak","There was 2 matches","1354","1498","515","<a href=""https://aoe4world.com/players/6957231"">stealthyChak</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-38-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
