"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"LM_Dicynator (Tarlanors)","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15676000"">LM_Dicynator (Tarlanors)</a>","There was 0 matches for the string LM_Dicynator (Tarlanors)","There was 0 matches","System.Object[]","1","System.Object[]","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8442107"">Wam01</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15636838"">Wam01</a>","2219","10","2119","13","857","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15633099"">HOMS | Scatterbrained</a>","1654","205","1734","247","415","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/3901430"">Tips</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15629765"">Tips</a>","1608","297","1715","289","3698","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7090781"">CoRe</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15675789"">coRe</a>","1928","43","1977","40","1822","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/769187"">Myriad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15689621"">Myriad</a>","1913","47","1903","69","1488","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/769187"">Myriad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15689596"">Myriad</a>","1913","47","1903","69","1488","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8432378"">Anotand</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15647654"">3D! | Anotand</a>",,,"1804","138","679","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2418927"">Royalwinner</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15656733"">HOMS | Royalwinner</a>","1272","3481","1338","6136","95","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/15136051"">BeastyBeauty</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15657814"">HOMS | BeastyBeauty</a>","1624","246","1680","392","373","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8185877"">VanDerDorf</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15676248"">VanDerDorf</a>","1745","117","1780","160","1337","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2347873"">SAS_</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15688913"">SAS_</a>","1854","61","1895","74","3263","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15619457"">HOMS | HOMS-.-SENPAI</a>","1657","200","1759","202","317","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15636931"">VES | Dragevann</a>","1642","224","1724","269","1059","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15639628"">Naheulbeuk</a>","1565","405","1714","293","117","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/15909715"">LegolaS</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15676034"">LegolaS</a>",,,"1686","371","37","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15675983"">Gullyd3ck3l</a>","1602","330","1678","407","1355","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10878926"">Beastyqt</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15688892"">Beastyqt</a>",,,"1471","598","46","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10427060"">Anovaku</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15646888"">RTF | Anovaku</a>","1524","486","1605","798","979","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4711473"">Bouhroh</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15687914"">Bouhroh</a>","1398","2213","1476","2450","744","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2236507"">Hannodins</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15689044"">[ODM] | Hannodins</a>","1399","2206","1468","2619","473","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6761030"">Friendsandchaos</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club/entrant/15676011"">Friendsandchaos</a>","1400","2179","1407","4188","768","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/the-warchief-club"">The Warchief Club</a>"
