"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12501620"">NyanRacingCat</a>","There was 1 matches for the string NyanRacingCat","There was 1 matches","1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12517400"">coRe</a>","There was 50 matches for the string CoRe","There was 50 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/1007570 7090781"">CoRe</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12513779"">GiveUAnxiety</a>","1781","38","1806","82","1788","<a href=""https://aoe4world.com/players/3553830"">GiveUAnxiety</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12482270"">Donato</a>","1493","199","1694","146","338","<a href=""https://aoe4world.com/players/8478599"">Donato</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12500337"">Tips</a>","1629","86","1674","158","1611","<a href=""https://aoe4world.com/players/3901430"">Tips</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12517138"">Szalamii1</a>","2018","7","1978","20","748","<a href=""https://aoe4world.com/players/6924135"">Szalamii1</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12516199"">DivineDFP</a>","1810","31","1895","43","936","<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12482377"">Shellbee</a>","1622","92","1662","172","944","<a href=""https://aoe4world.com/players/6514515"">Shellbee</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12509325"">Pillars</a>","There was 1 matches for the string Pillars","There was 1 matches","1783","93","127","<a href=""https://aoe4world.com/players/7972932"">Pillars</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club/entrant/12516883"">Pacomike</a>","1598","108","1658","176","1088","<a href=""https://aoe4world.com/players/6960007"">Pacomike</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-23/event/the-warchief-club"">The Warchief Club</a>"
