"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17635771"">Drum</a>","There was 50 matches for the string Drum","There was 50 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/8375434"">Drum</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17613828"">kjj</a>","1839","49","1913","60","1171","<a href=""https://aoe4world.com/players/11628131"">kjj</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17613861"">Warsp1te</a>","1821","55","1903","65","909","<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17613822"">KnockKnock</a>","1849","43","1881","79","1505","<a href=""https://aoe4world.com/players/570060"">KnockKnock</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17631389"">Scatterbrained</a>","1860","39","1849","105","546","<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17636460"">aX | Matiz</a>","1696","118","1775","171","2228","<a href=""https://aoe4world.com/players/3671968"">Matiz</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17605809"">HOMS | HOMS-.-SENPAI</a>","1487","473","1661","509","576","<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17611810"">Reddarksider</a>","1428","647","1472","3204","1251","<a href=""https://aoe4world.com/players/6489303"">Reddarksider</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17610961"">Myriad</a>","1901","29","1921","52","2006","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17604326"">Gullyd3ck3l</a>","1665","138","1749","213","2038","<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17631632"">sirius123</a>","1582","283","1629","679","1534","<a href=""https://aoe4world.com/players/5891864"">sirius123</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club/entrant/17623082"">Rode</a>","1176","3411","1280","9613","2473","<a href=""https://aoe4world.com/players/7038867"">Rode</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-89/event/the-warchief-club"">The Warchief Club</a>"
