"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"Francis Bean","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/17727306"">Francis Bean</a>","There was 0 matches for the string Francis Bean","There was 0 matches","System.Object[]","1","System.Object[]","Bottom Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/757681"">RoyalPleco</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17727577"">RoyalPleco</a>","1445","641","1593","978","224","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/844518"">Cow</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17727286"">Taiga | Cow</a>","1420","741","1511","2414","911","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/6489303"">Reddarksider</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17726485"">Reddarksider</a>","1415","790","1465","3408","1259","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11542811"">Bagsy</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17727483"">Bagsy</a>","1411","821","1456","3647","2153","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/1344983"">WinS0117</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17727257"">WinS0117</a>","1339","1576","1435","4191","514","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/8708170"">MightyMorris</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17727138"">MightyMorris</a>","1332","1621","1366","6069","716","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11989139"">AntiRaider</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17712122"">AntiRaider</a>","1229","2633","1337","7122","436","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/20257256"">Pilsen</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17715018"">Universo Aoe | Pilsen</a>",,,"1291","9118","22","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/8441308"">Socerton</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/17727319"">Socerton</a>","1254","2309","1269","10393","834","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-90/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
