"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"LM_Dicynator (Tarlanors)","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15402473"">LM_Dicynator (Tarlanors)</a>","There was 0 matches for the string LM_Dicynator (Tarlanors)","There was 0 matches","System.Object[]","1","System.Object[]","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"HOMS Shtoprrrr","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15433358"">HOMS Shtoprrrr</a>","There was 0 matches for the string HOMS Shtoprrrr","There was 0 matches","System.Object[]","1","System.Object[]","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/11722073"">TIGER</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15401070"">E-GEAR | TIGER</a>","There was 0 matches for the string TIGER","There was 0 matches","System.Object[]","1","System.Object[]","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8432378"">Anotand</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15373948"">3D! | Anotand</a>",,,"1819","125","679","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8442107"">Wam01</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15431235"">Wam01</a>","2239","5","2137","8","820","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2347873"">SAS_</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15425797"">SAS_</a>","1722","125","1815","128","3187","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/3901430"">Tips</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15370521"">Tips</a>","1716","136","1778","174","3611","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15362756"">HOMS | HOMS-.-SENPAI</a>","1692","164","1772","181","317","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/769187"">Myriad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15451699"">Myriad</a>","1703","150","1757","211","1460","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8185877"">VanDerDorf</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15393194"">VanDerDorf</a>","1712","141","1745","231","1264","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10427060"">Anovaku</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15395900"">RTF | Anovaku</a>","1746","111","1741","236","932","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/515937"">Ramen</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15458001"">Ramen</a>","1662","192","1725","264","975","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15415073"">HOMS | Scatterbrained</a>","1614","260","1706","311","414","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15463133"">Naheulbeuk</a>","1511","509","1700","325","115","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/14611083"">Deniskya</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15399676"">E-GEAR | Deniskya</a>","1537","439","1684","384","425","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15426276"">VES | Dragevann</a>","1601","314","1683","389","1018","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/229829"">Themos</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15461064"">Themos</a>","1450","722","1543","1313","721","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/11648581"">SamyarS80</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15462962"">SamyarS80</a>","1383","1981","1517","1673","354","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4780787"">Synthexor</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15462965"">Synthexor</a>","1306","2657","1500","1927","543","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/15136051"">BeastyBeauty</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15370299"">HOMS | BeastyBeauty</a>","1622","239","1679","404","352","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/520130"">Chuckfrancis</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15393203"">Chuckfrancis</a>","1400","1839","1666","453","1283","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10045489"">Keyrun22</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15463015"">Keyrun22</a>","1597","330","1662","474","991","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/9014000"">Ezra123</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15463254"">Ezra123</a>","1600","319","1640","575","1186","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8889417"">Camiknoedel</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15462947"">Camiknoedel</a>","1510","520","1634","612","593","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2677308"">_PLA_Mouse????</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15429971"">_PLA_Mouse????</a>","1600","317","1629","643","558","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2418927"">Royalwinner</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club/entrant/15402510"">HOMS | Royalwinner</a>","1145","6215","1264","9108","84","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-62/event/the-warchief-club"">The Warchief Club</a>"
