"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"LM_Dicynator (Tarlanors)","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19273402"">LM_Dicynator (Tarlanors)</a>","There was 0 matches for the string LM_Dicynator (Tarlanors)","There was 0 matches","System.Object[]","1","System.Object[]","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/9015924"">Matiz</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19276812"">VES | Matiz</a>","There was 0 matches for the string Matiz","There was 0 matches","System.Object[]","1","System.Object[]","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/11722073"">TIGER</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19256728"">daubi. | TIGER</a>","There was 0 matches for the string TIGER","There was 0 matches","System.Object[]","1","System.Object[]","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2347873"">SAS_</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19240667"">SAS_</a>","2217","11","2085","16","4302","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/769187"">Myriad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19263578"">Myriad</a>","1911","58","1929","59","2677","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10999320"">Muhodo</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19281905"">VES | Muhodo</a>","1902","64","1889","76","418","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19259385"">Gullyd3ck3l</a>","1619","296","1722","282","2447","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10427060"">Anovaku</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19237444"">NaVi | Anovaku</a>","1672","215","1715","302","1486","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/570060"">KnockKnock</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19258078"">KnockKnock</a>","1584","375","1694","362","1715","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19282291"">VES | Dragevann</a>","1592","364","1684","407","1682","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/18504557"">Realt1ger</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19281981"">Realt1ger</a>","1617","301","1650","537","1793","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/15122619"">rachbulo</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19269060"">rachbulo</a>","1400","1657","1579","1106","144","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19272695"">Warsp1te</a>","1743","131","1873","83","906","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6489303"">Reddarksider</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19224941"">Reddarksider</a>","1484","657","1541","1716","1522","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7008236"">deepshine</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19240535"">deepshine</a>","1421","936","1476","3398","2998","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7966047"">Prod1gy</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19267769"">daubi. | Prod1gy</a>","There was 3 matches for the string Prod1gy","There was 3 matches","1473","3497","139","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/3043343"">ele[xus]</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19282377"">ele[xus]</a>","1326","2719","1427","5004","1711","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6947655"">XARDAScoh</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club/entrant/19242110"">XARDAScoh</a>",,,"There was 0 matches for the string XARDAScoh","There was 0 matches","There was 0 matches","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-111/event/the-warchief-club"">The Warchief Club</a>"
