"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"ff","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12796706"">MODRIC | ff</a>","There was 0 matches for the string ff","There was 0 matches","System.Object[]","1","System.Object[]","Bottom Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/893067"">Chrono</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12821711"">VES | Chrono</a>","There was 0 matches for the string Chrono","There was 0 matches","System.Object[]","1","System.Object[]","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"_ChIvO__","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12821528"">Combi | | _ChIvO__</a>","There was 2 matches for the string _ChIvO__","There was 2 matches","System.Object[]","1","System.Object[]","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"Sm3236","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12843129"">Sm3236</a>","There was 0 matches for the string Sm3236","There was 0 matches","System.Object[]","1","System.Object[]","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"Caldeira","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12842387"">[666] | Caldeira</a>","There was 3 matches for the string Caldeira","There was 3 matches","System.Object[]","1","System.Object[]","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/2416271"">Gamer</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12791447"">Gamer</a>","912","11698","1021","11535","27","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11302329"">CS Blight</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12830527"">CS Blight</a>","955","9668","1013","11970","320","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/9599078"">Everlast007</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12843579"">Everlast007</a>","1335","1123","1487","637","323","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/5762434"">Leminos</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12842381"">Leminos</a>","1406","716","1448","815","567","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/9166007"">veconk</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12836511"">veconk</a>","1318","1197","1383","1255","635","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/6256219"">Boiiiiii3920</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12842396"">moreknights.com | Boiiiiii3920</a>","1324","1165","1309","1984","159","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/8063447"">Moketronics7740</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12814228"">Moketronics</a>","There was 0 matches for the string Moketronics7740","There was 0 matches","1298","2259","129","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11636485"">Vegeta</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12844201"">Vegeta</a>","1185","2861","1283","2480","54","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/455031"">Berennon</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12816284"">Berennon</a>","1174","2986","1271","2499","683","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/217612"">Eradicus</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12843755"">Eradicus</a>","1222","2077","1269","2537","115","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/10724618"">FuryRoad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12790812"">N/A | Fury Road</a>","1205","2534","1259","2711","250","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/4488726"">Sisyphus</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12840745"">Sisyphus</a>","1168","3051","1238","3109","449","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/8064820"">Quarfelburg</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12842656"">Quarfelburg</a>","1136","3584","1226","3333","496","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/8010816"">[R.E.] KingSmurf</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/12843256"">KingSmurf</a>","1091","4562","1208","3997","210","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/9866230"">PlanetO86</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12843033"">PlanetO86</a>","There was 0 matches for the string PlanetO86","There was 0 matches","1173","4500","86","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11212849"">BURAK</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12844270"">BURAK</a>","1054","5481","1143","5329","64","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/5981024"">Jabar Jabroni</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12829540"">Jabar Jabroni</a>","1144","3445","1153","5465","198","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/1464301"">Feigi</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12842425"">Feigi</a>","789","18253","1128","5863","56","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/4632757"">TheNavneet</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12842404"">TheNavneet</a>","1011","7269","1119","6224","306","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/12176996"">What r u doing step gamer ??</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12842400"">Obiwankevinobi</a>","985","8497","1130","6228","115","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11934190"">Ciuc</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12844636"">Ciuc</a>","876","13479","920","15928","86","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/7302415"">Hillz</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12826043"">Hillz | Hillz</a>","700","22840","884","17613","44","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/7631154"">favian</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12842412"">favian</a>","1006","7629","1119","6691","30","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/7249496"">reversegrip</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12842397"">reversegrip</a>","989","8358","1101","6889","95","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/9263847"">TASE Reborn</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12844160"">TASE Reborn</a>","1047","5682","1111","6990","269","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/9864634"">Altay</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/12790257"">Altay</a>","1276","1509","1105","7252","72","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/5979227"">Medudesuhh</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/12811242"">Medudesuhh</a>","1024","6462","1084","7624","263","Bottom Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-28/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
