"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"Leviathan (WilliamWolfe)","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/18233550"">Leviathan (WilliamWolfe)</a>","There was 0 matches for the string Leviathan (WilliamWolfe)","There was 0 matches","System.Object[]","1","System.Object[]","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/13164895"">Aster</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/18240283"">Aster</a>","There was 50 matches for the string Aster","There was 50 matches","System.Object[]","1","System.Object[]","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/18504557"">Realt1ger</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/18238379"">Realt1ger</a>","1364","241","1503","2644","1332","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/2118113"">Mikadoman</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/18240668"">Mikadoman</a>",,,"1451","3947","1552","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/436731"">Sir Schmeckles</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/18215851"">Sir Schmeckles</a>","1182","653","1423","4693","252","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/7437888"">TypeError</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/18240279"">TypeError</a>","1015","1529","1350","6963","1258","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11936490"">???</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/18240276"">???</a>","1190","628","1331","7749","783","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/6964911"">Jhill4492</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/18240289"">Jhill4492</a>",,,"1318","8303","204","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/20587464"">Kareem3id</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/18240368"">Kareem3id</a>","1045","1272","1267","11039","253","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/10724618"">FuryRoad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/18240373"">N/A | Fury Road</a>",,,"1240","13006","680","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
