"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12699416"">NyanRacingCat</a>","There was 1 matches for the string NyanRacingCat","There was 1 matches","1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12674456"">Shellbee</a>","1529","232","1669","169","963","<a href=""https://aoe4world.com/players/6514515"">Shellbee</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12686575"">Szalamii1</a>","2020","11","2007","18","750","<a href=""https://aoe4world.com/players/6924135"">Szalamii1</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12693407"">Knusch</a>","1843","42","1940","33","311","<a href=""https://aoe4world.com/players/3592037"">Knusch</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12656248"">State</a>","2035","10","2100","7","94","<a href=""https://aoe4world.com/players/12370741"">State</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12703640"">coRe</a>","1929","25","1933","35","995","<a href=""https://aoe4world.com/players/7090781"">CoRe</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12686637"">Tips</a>","1520","246","1713","131","1726","<a href=""https://aoe4world.com/players/3901430"">Tips</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12671063"">VerteX</a>","1592","169","1674","163","1114","<a href=""https://aoe4world.com/players/1062281"">VerteX</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12701427"">Muhodo</a>","1479","327","1611","249","129","<a href=""https://aoe4world.com/players/10999320"">Muhodo</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12682298"">PCS | SymbioseLegend</a>","1489","306","1564","352","876","<a href=""https://aoe4world.com/players/7046302"">SymbioseLegend</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12701743"">Myriad</a>","1524","241","1583","312","486","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12702424"">3D! | Anotand</a>","1740","70","1910","36","610","<a href=""https://aoe4world.com/players/8432378"">Anotand</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12700949"">DivineDFP</a>","1868","38","1876","51","1070","<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12691840"">M7</a>","1604","152","1652","187","142","<a href=""https://aoe4world.com/players/6971273"">M7</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12704264"">VES | Dragevann</a>","1484","316","1567","353","307","<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12700750"">Ramen</a>","1444","388","1507","540","245","<a href=""https://aoe4world.com/players/515937"">Ramen</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club/entrant/12704001"">OpDVlaM</a>","1418","499","1501","563","445","<a href=""https://aoe4world.com/players/8463481"">OpDVlaM</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-26/event/the-warchief-club"">The Warchief Club</a>"
