"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14056809"">NyanRacingCat</a>",,,"1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14064943"">PCS | LeZouave</a>","There was 4 matches for the string LeZouave","There was 4 matches","System.Object[]","1","System.Object[]","LeZouave","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14055947"">SAS_</a>","There was 50 matches for the string SAS_","There was 50 matches","System.Object[]","1","System.Object[]","SAS_","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14056111"">kiljardi</a>","2114","15","2072","18","1475","<a href=""https://aoe4world.com/players/3813060"">kiljardi</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14047581"">Valdemar1902</a>","1975","39","1963","46","2400","<a href=""https://aoe4world.com/players/2942077"">Valdemar1902</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14064239"">DivineDFP</a>","1998","35","1927","62","1462","<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14046635"">Myriad</a>","1776","111","1825","120","1065","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/13992182"">Kaiser Johan</a>","1778","110","1813","127","697","<a href=""https://aoe4world.com/players/2606764"">Kaiser Johan</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14066272"">aX | Matiz</a>","1658","175","1758","166","1510","<a href=""https://aoe4world.com/players/3671968"">Matiz</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/13982007"">PCS VanDerDorf</a>","1733","129","1750","175","920","<a href=""https://aoe4world.com/players/8185877"">PCS VanDerDorf</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club/entrant/14045244"">VES | Dragevann</a>","1628","208","1713","223","630","<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-46/event/the-warchief-club"">The Warchief Club</a>"
