"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"alwezz97","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/15668395"">alwezz97</a>","There was 0 matches for the string alwezz97","There was 0 matches","System.Object[]","1","System.Object[]","Bottom Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"PavelaDurova","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/15686866"">PavelaDurova</a>","There was 0 matches for the string PavelaDurova","There was 0 matches","System.Object[]","1","System.Object[]","Bottom Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"The10.5thCowboyRamRanch","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/15689993"">The10.5thCowboyRamRanch</a>","There was 0 matches for the string The10.5thCowboyRamRanch","There was 0 matches","System.Object[]","1","System.Object[]","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/10418600"">Kaker</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/15688988"">Kaker</a>",,,"1443","3254","57","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/2118113"">Mikadoman</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/15676326"">Mikadoman</a>","1421","914","1434","3457","1295","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11946850"">H?daverdi</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/15648360"">H?daverdi</a>","1000","15460","1017","38139","295","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/10998975"">Luckywiep0w0</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/15688935"">Luckywiep0w0</a>","1316","2924","1413","4040","60","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/4262428"">Athule</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/15689613"">Athule</a>","1066","10317","1342","5990","71","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/6858270"">yolororo21</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/15689017"">yolororo21</a>","1209","5187","1303","7569","130","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/7064972"">PatDelmuerte</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo/entrant/15690294"">PatDelmuerte</a>","1209","5178","1283","8502","453","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-65-1/event/low-elo-legends-top-bracket-1250-1475-ranked-elo"">Low Elo Legends - Top Bracket (1250-1475 Ranked Elo)</a>"
