"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"MarjiMan_RTS#9852","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-lower-bracket-1228-ranked-elo/entrant/17163377"">MarjiMan_RTS#9852</a>","There was 0 matches for the string MarjiMan_RTS#9852","There was 0 matches","System.Object[]","1","System.Object[]","Bottom Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-lower-bracket-1228-ranked-elo"">Low Elo Legends - Lower Bracket (<1228 Ranked Elo)</a>"
"11cm","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17237063"">[ODM] Obli | 198 cm 120kg 11cm</a>","There was 0 matches for the string 11cm","There was 0 matches","System.Object[]","1","System.Object[]","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/8827384"">StompingHoof</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17236950"">StompingHoof</a>","1333","190","1419","4257","2139","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11542811"">Bagsy</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17236945"">Bagsy</a>","1356","173","1415","4346","2049","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/2118113"">Mikadoman</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17236942"">Mikadoman</a>",,,"1409","4498","1452","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/6964911"">Jhill4492</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17230594"">Jhill4492</a>",,,"1340","6375","187","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/4711882"">TheIncan</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17237141"">TheIncan</a>",,,"1331","6711","1174","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/11989139"">AntiRaider</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17236948"">AntiRaider</a>",,,"1315","7292","414","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/7038867"">Rode</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17236951"">Rode</a>","1145","550","1300","7924","2298","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/10444661"">Vir Orationum</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17236166"">Vir Orationum</a>",,,"1253","10417","445","Middle Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/4632757"">TheNavneet</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo/entrant/17229677"">TheNavneet</a>","1019","1082","1212","13104","801","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-upper-bracket-1228-1550-ranked-elo"">Low Elo Legends - Upper Bracket (1228-1550 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/9667448"">JamesCTID</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-lower-bracket-1228-ranked-elo/entrant/17236978"">JamesCTID</a>",,,"1209","13298","322","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-lower-bracket-1228-ranked-elo"">Low Elo Legends - Lower Bracket (<1228 Ranked Elo)</a>"
"<a href=""https://aoe4world.com/players/200804"">Tabith_1</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-lower-bracket-1228-ranked-elo/entrant/17237010"">Tabith_1</a>","831","2535","1153","17623","272","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-86/event/low-elo-legends-lower-bracket-1228-ranked-elo"">Low Elo Legends - Lower Bracket (<1228 Ranked Elo)</a>"
