"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13253534"">NyanRacingCat</a>","There was 1 matches for the string NyanRacingCat","There was 1 matches","1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13255817"">PCS | Cosmos</a>","There was 0 matches for the string Cosmos","There was 0 matches","819","","17","<a href=""https://aoe4world.com/players/4408860"">Cosmos</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13240552"">SAS_</a>","There was 50 matches for the string SAS_","There was 50 matches","System.Object[]","1","System.Object[]","SAS_","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13257368"">PCS | Chuckfrancis</a>","1613","185","1715","130","957","<a href=""https://aoe4world.com/players/520130"">Chuckfrancis</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13237915"">Knusch</a>","1919","36","1950","35","346","<a href=""https://aoe4world.com/players/3592037"">Knusch</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13254565"">DivineDFP</a>","1996","25","1920","44","1105","<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13255453"">Avely</a>","1844","56","1871","61","1095","<a href=""https://aoe4world.com/players/6504120"">Avely</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13254846"">Myriad</a>","1652","130","1692","164","683","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13250264"">GG | ISanych</a>","1611","188","1669","167","142","<a href=""https://aoe4world.com/players/7421328"">ISanych</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club/entrant/13253028"">Szalamii1</a>","2051","17","2007","18","750","<a href=""https://aoe4world.com/players/6924135"">Szalamii1</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-35/event/the-warchief-club"">The Warchief Club</a>"
