"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12957018"">PCS | Cosmos</a>","There was 0 matches for the string Cosmos","There was 0 matches","819","","17","<a href=""https://aoe4world.com/players/4408860"">Cosmos</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12928592"">Xanatos</a>","There was 0 matches for the string Xanatos","There was 0 matches","952","","1","<a href=""https://aoe4world.com/players/9460765"">Xanatos</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12963676"">PCS | LeZouave</a>","There was 3 matches for the string LeZouave","There was 3 matches","System.Object[]","1","System.Object[]","LeZouave","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12924238"">SAS_</a>","There was 50 matches for the string SAS_","There was 50 matches","System.Object[]","1","System.Object[]","SAS_","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12963073"">coRe</a>","1807","58","1948","29","977","<a href=""https://aoe4world.com/players/7090781"">CoRe</a>","Last Chance Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12932561"">Galorys | LegolaS</a>","1502","330","1580","305","86","<a href=""https://aoe4world.com/players/2105776"">LegolaS</a>","Last Chance Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12960616"">DivineDFP</a>","1933","30","1905","49","1091","<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12950493"">PCS | Chuckfrancis</a>","1681","106","1715","130","957","<a href=""https://aoe4world.com/players/520130"">Chuckfrancis</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12924461"">aX | Matiz</a>","1637","131","1716","135","998","<a href=""https://aoe4world.com/players/3671968"">Matiz</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12963497"">GG | ISanych</a>","1628","147","1669","167","142","<a href=""https://aoe4world.com/players/7421328"">ISanych</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12967572"">Shellbee</a>","1626","152","1669","169","963","<a href=""https://aoe4world.com/players/6514515"">Shellbee</a>","Last Chance Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club/entrant/12964001"">Myriad</a>","1610","169","1668","180","613","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-30/event/the-warchief-club"">The Warchief Club</a>"
