"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"MarjiMan_RTS#9852","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17338453"">MarjiMan_RTS#9852</a>","There was 0 matches for the string MarjiMan_RTS#9852","There was 0 matches","System.Object[]","1","System.Object[]","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"Msn_dkTTV","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17360630"">GHG | Msn_dkTTV</a>","There was 0 matches for the string Msn_dkTTV","There was 0 matches","System.Object[]","1","System.Object[]","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8432378"">Anotand</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17354678"">mYi | Anotand</a>","1995","9","2099","12","806","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6504120"">Avely</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17335638"">Avely</a>","1859","23","1953","44","1662","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17333416"">Scatterbrained</a>",,,"1803","140","452","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17332304"">Gullyd3ck3l</a>","1677","82","1761","200","1917","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17360162"">Dragevann</a>","1539","233","1756","216","1471","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17348842"">HOMS | HOMS-.-SENPAI</a>",,,"1718","298","565","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/14611083"">Deniskya</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17333418"">E-GEAR | Deniskya</a>","1552","215","1705","334","542","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17360478"">Naheulbeuk</a>",,,"1674","433","122","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8185877"">VanDerDorf</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17360292"">VanDerDorf</a>","1570","200","1645","571","1443","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1453662"">fleeze</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17349454"">fleeze</a>",,,"1641","595","778","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/12839180"">Viperrexe</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17341458"">Viperrexe</a>","1512","259","1604","846","109","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7344483"">Anovaku</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club/entrant/17331575"">RTF | Anovaku</a>","There was 0 matches for the string Anovaku","There was 0 matches","There was 0 matches for the string Anovaku","There was 0 matches","There was 0 matches","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-87/event/the-warchief-club"">The Warchief Club</a>"
