"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14782181"">NyanRacingCat</a>",,,"1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14742171"">SAS_</a>","There was 50 matches for the string SAS_","There was 50 matches","System.Object[]","1","System.Object[]","SAS_","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14784429"">LM_Dicynator (Tarlanors)</a>","There was 0 matches for the string LM_Dicynator (Tarlanors)","There was 0 matches","System.Object[]","1","System.Object[]","LM_Dicynator (Tarlanors)","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14775999"">SoldieR</a>","1692","165","1761","182","489","<a href=""https://aoe4world.com/players/608090"">SoldieR</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14755506"">Gullyd3ck3l</a>","1651","208","1697","288","1032","<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14754623"">Naheulbeuk</a>","1499","521","1673","337","107","<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14738269"">HOMS | BeastyBeauty</a>","1680","176","1627","496","268","<a href=""https://aoe4world.com/players/15136051"">BeastyBeauty</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14738247"">HOMS | HOMS-.-SENPAI</a>","1465","613","1618","537","261","<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14766298"">HOMS | Scatterbrained</a>","1483","565","1564","819","373","<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14775705"">Arabskiy!TIGER</a>","1456","637","1536","1041","546","<a href=""https://aoe4world.com/players/8269666"">Arabskiy!TIGER</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club/entrant/14775979"">LegolaS</a>","1043","10023","1124","14418","341","<a href=""https://aoe4world.com/players/1395316"">LegolaS</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-56/event/the-warchief-club"">The Warchief Club</a>"
