"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/17948600"">StompingHoof</a>","1375","1634","1462","3547","2212","<a href=""https://aoe4world.com/players/8827384"">StompingHoof</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/17927191"">sub.Stan.dard.op</a>","1332","1919","1446","3968","400","<a href=""https://aoe4world.com/players/6387591"">sub.Stan.dard.op</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/17904488"">Yonko Sors</a>","1413","867","1439","4131","285","<a href=""https://aoe4world.com/players/19729067"">Yonko Sors</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/17939834"">Jhill4492</a>","1115","5949","1341","7086","195","<a href=""https://aoe4world.com/players/6964911"">Jhill4492</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/17943793"">Hosam_striker</a>","1187","4435","1257","11413","2028","<a href=""https://aoe4world.com/players/14836525"">Hosam_striker</a>","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/17943794"">Hosam_striker</a>","1187","4435","1257","11413","2028","<a href=""https://aoe4world.com/players/14836525"">Hosam_striker</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/17901187"">???</a>","996","11472","1184","16833","631","<a href=""https://aoe4world.com/players/11936490"">???</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/17901194"">Reikly</a>","1057","7864","1167","18463","39","<a href=""https://aoe4world.com/players/7616845"">Reikly</a>","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/17907825"">sopersayan3</a>","841","19969","1032","38183","13","<a href=""https://aoe4world.com/players/16502579"">sopersayan3</a>","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/17907826"">sopersayan3</a>","841","19972","1032","38183","13","<a href=""https://aoe4world.com/players/16502579"">sopersayan3</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
